Study_Hours,Sleeping_Hours,Social_Media_Usage,Playing_Hours,Previous_Score,Attendance,Pass
4.370861069626263,7.852189876925727,0.515619344179663,4.571494032802495,44.0,51.0,0
9.556428757689245,4.504839789970293,4.512764533397833,0.5887554144507057,57.0,69.0,1
7.587945476302646,4.969772284567682,2.5262618622392856,2.882582377571268,67.0,50.0,1
6.387926357773329,9.391325131162475,4.132287330538708,1.37027610343603,81.0,86.0,1
2.4041677639819286,7.638574357957539,,2.770890012578967,61.0,58.0,0
2.403950683025824,4.055182309699778,4.477616142481002,3.257101941759321,60.0,66.0,0
1.5227525095137953,4.608829257196192,1.9460083936708155,4.1487090185360085,45.0,58.0,0
8.795585311974417,7.981010614648335,0.0541882574014918,1.032106358803016,40.0,60.0,1
6.41003510568888,4.030369503077312,4.5269098820963185,0.05497914329240239,44.0,64.0,1
7.372653200164409,4.964848308504992,0.4564333839306678,0.6844281503440364,80.0,,1
1.185260448662222,7.2924027361995165,1.5965681879520743,4.500093209240525,51.0,87.0,0
9.72918866945795,8.15137118615616,4.750309835254025,4.369450387812576,65.0,84.0,1
8.491983767203795,7.911767557015603,4.7530357346877805,2.9870655108515414,85.0,79.0,1
2.9110519961044856,5.3456158567633585,2.8671894406164307,3.002584302168267,73.0,80.0,1
2.636424704863906,8.273075328085216,3.159186060848996,3.3251833727312774,88.0,98.0,1
2.650640588680904,5.4234945249808,2.2422276098915987,0.876856393117248,53.0,54.0,0
3.7381801866358395,5.952398188955606,1.4660538584903227,4.572059729624799,65.0,93.0,1
5.72280788469014,8.478948430708144,1.6433227268495798,2.0938526244603657,84.0,99.0,1
4.887505167779041,7.8977973942832875,3.362592280385192,1.9156926412474873,66.0,63.0,1
3.6210622617823773,9.095340462965067,3.7618726471884,2.5945885264141877,48.0,60.0,0
6.506676052501415,7.94567735380206,3.9578952186292424,0.23482983387527523,65.0,58.0,1
2.2554447458683766,7.40985162001283,3.9480907139727694,0.831416843780397,96.0,83.0,1
3.629301836816963,4.562048606968554,0.45603051524345184,3.6901680821318523,86.0,61.0,1
4.297256589643226,6.206294818356601,2.472101523512907,0.41399333962563234,96.0,84.0,1
5.104629857953324,5.591214206090353,0.2877938000832214,3.015760547331941,61.0,84.0,1
8.066583652537123,5.463937860274502,2.7476444116186776,1.2267455484066048,86.0,50.0,1
2.7970640394252375,9.838063328514673,2.207652506866885,1.9464780702098827,95.0,89.0,1
5.628109945722504,6.358586348000562,4.438520913791499,1.4434686838534994,69.0,71.0,1
6.331731119758382,9.352279331062679,1.7545750627603933,1.7783635823247457,82.0,78.0,1
1.4180537144799796,7.786831755983577,0.5853350821380293,3.5952295259212272,87.0,57.0,1
6.467903667112945,8.768867821249891,0.7149584102641793,1.4856085781158752,56.0,60.0,1
2.5347171131856236,7.015822558631153,3.8075531585873614,2.832023201484486,65.0,90.0,1
1.5854643368675156,7.461423307758155,3.0910903165813055,2.3802520109954983,75.0,86.0,1
9.539969835279999,6.955106162913183,0.5056133806139512,3.3183558268132405,40.0,63.0,1
9.690688297671034,5.171457926788267,0.42053403057498717,4.68414869662379,47.0,79.0,1
8.275576133048151,8.334712691569031,3.5048456572955997,3.6628604860512515,88.0,84.0,1
3.741523922560336,5.684634174645135,0.36381503182096764,1.074701892953784,74.0,70.0,1
1.8790490260574548,4.1458957985887235,4.1093002964517815,0.15591567530642336,91.0,86.0,1
7.158097238609412,7.872833775443007,3.531211135782481,1.3113202214991255,54.0,54.0,1
4.961372443656412,5.062664076442294,0.4067439032094988,2.9753896535012743,86.0,68.0,1
2.0983441136030097,9.642751506117486,0.4241885704259596,0.25712906742125174,95.0,63.0,1
5.456592191001432,9.723571462015524,4.933197892505877,2.481831236006182,61.0,75.0,1
1.3094966900369656,9.489186341322691,1.8713539787806015,2.984214244584446,,53.0,0
9.18388361870904,6.220952201532667,1.8532107353344545,1.6712194540848042,65.0,74.0,1
3.3290198344001523,4.092739699173205,4.063997836287513,3.8545610187291097,67.0,94.0,1
6.962700559185838,9.569911375526353,4.736242886919293,0.532991265668859,62.0,91.0,1
3.8053996848046987,6.569104889903886,4.930005319114354,0.3756889086790438,53.0,74.0,0
5.680612190600297,9.799928914262019,3.766890926294708,3.6409437810180165,63.0,67.0,1
5.920392514089517,9.781719862535518,,2.4774565810309923,41.0,,1
2.6636900997297435,9.11805673280416,0.4175035834933438,3.44201198213868,84.0,57.0,1
9.726261649881026,5.766693352417514,3.885734579637184,2.174136693018731,65.0,88.0,1
7.976195410250031,6.310586371611551,2.792021248679025,1.232010166195534,53.0,89.0,1
9.455490474077703,9.106820029101142,2.1211100462348815,4.095511588370998,98.0,63.0,1
9.053446153848839,5.901532030937666,4.53177192547368,3.997079394844896,95.0,81.0,1
6.381099809299767,5.016956480116555,0.5559874115307567,3.473482354272134,90.0,87.0,1
9.296868115208051,7.340807574750101,2.4631255214542955,1.3607256861498134,46.0,82.0,1
1.7964325184672756,9.616928644964686,0.056768223837095344,2.9511533343454355,42.0,72.0,0
2.763845761772307,8.176178780049838,2.3433032099706312,1.8048694847001339,86.0,64.0,1
1.4070456001948426,7.42036702053619,0.28151637840918675,0.45791036663317075,62.0,82.0,1
3.927972976869379,4.583058962624611,0.5940895813403596,4.586567877311214,85.0,74.0,1
4.498095607205338,7.690043360195018,0.5876312338855244,0.684093154594807,82.0,66.0,1
3.442141285965063,9.94032310062558,3.246051510580318,4.751186769104012,86.0,82.0,1
8.458637582367365,4.840504091419144,3.7302243963271167,2.230028864789779,99.0,96.0,1
4.210779940242304,7.10997791418242,2.916843825485798,0.9256646441930982,84.0,51.0,1
3.5284105871864266,9.264238431567733,4.810862742372709,2.7095047368917906,57.0,63.0,0
5.884264748424236,8.444611706525226,1.8743528976185204,4.364729179382041,97.0,89.0,1
2.2683180247728636,8.182094445971607,1.4285604314093037,3.661124432047806,77.0,89.0,1
8.219772826786357,8.214904503922655,4.342995640947302,4.032805739307249,74.0,88.0,1
1.6709557931179373,6.156946907318531,1.117979192597263,3.293916833553587,90.0,55.0,1
9.881982429404655,5.761551065586961,4.816112697203057,3.4613828225892624,54.0,55.0,1
7.9502029236699165,8.856166932871082,0.06077237344908171,4.2459782578265965,64.0,52.0,1
2.7884411338075514,8.860680368075084,4.849394133538195,1.2483400442959298,94.0,56.0,1
1.0496990541124216,,0.21579955975288057,,76.0,57.0,0
8.339152856093508,9.479443315338827,4.455715568490356,1.1060472090980111,67.0,91.0,1
7.361716094628554,7.068054393165626,2.6385055454314994,4.938340039983235,49.0,64.0,1
7.561064512368886,7.009097768123198,4.964823980596502,4.720296698433066,78.0,96.0,1
7.941433120173512,8.789771073800651,0.3689828236769943,0.1971340568425295,96.0,78.0,1
1.6664018656068134,7.899783584666591,2.7692714220066037,3.5278758625784423,56.0,82.0,0
4.226191556898454,8.21180126354622,4.846512678095495,4.626241587078329,78.0,79.0,1
2.0428215357261674,8.774756016616607,2.615489220850744,0.9028767256366677,61.0,88.0,1
